year,district,candidate,candidate_norm,candidate_key,document_count,has_pdf,form_type_detected,filed_as,office_sought,ballot_name,race_ethnicity_self_reported,tribe_native_corporation_self_reported,education_background,candidate_committee,filing_method,parse_method,is_non_candidate_row,name_candidate_filings,match_method_candidate_filings,has_candidate_filings,name_report2025,match_method_report2025,has_report2025,name_portland_contributions,match_method_portland_contributions,has_portland_contributions,name_orestar,match_method_orestar,has_orestar,filing_status,filing_date,campaign_website,occupation,occupational_background,prior_govt_experience,public_funding_program,needs_manual_review,source_count,expected_source_count,all_expected_sources,coverage_status
2024,2,Antonio Jamal PettyJohnBlue,antonio jamal pettyjohnblue,2024|2|antonio jamal pettyjohnblue,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Antonio Jamal PettyJohnBlue,canonical_source,True,Antonio Jamal PettyJohnBlue,exact_normalized_name,True,,,False,,,False,Qualified,"August 26, 2024",,,,,,True,2,4,False,candidate_filings+report2025
2024,2,Bob Simril,bob simril,2024|2|bob simril,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Bob Simril Page 2: Candidate Information,Black or African American | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Lewis and Clark College"", ""last_grade_completed"": ""College"", ""credential"": ""BA, Communications | Spanish Minor"", ""course_of_study"": """"}, {""school"": ""Grant High School"", ""last_grade_completed"": ""12"", ""credential"": ""Diploma"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Bob Simril,canonical_source,True,Bob Simril,exact_normalized_name,True,Bob Simril,exact_normalized_name,True,Simril,unique_token_containment,True,Qualified,"June 10, 2024",www.votebobpdx.com,Small Business Consultant,"Account Director, Payscale.com",,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Chris Olson,chris olson,2024|2|chris olson,1,True,unrecognized_or_scanned,,,,,,,,,text_layer,False,Chris Olson,canonical_source,True,Chris Olson,exact_normalized_name,True,Christopher Olson,human_review_match,True,Olson,unique_token_containment,True,Qualified,"June 18, 2024",,,,,,True,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Dan Ryan,dan ryan,2024|2|dan ryan,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Dan Ryan Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""University of Oregon"", ""last_grade_completed"": ""Bachelor Degree"", ""credential"": ""Degree"", ""course_of_study"": """"}, {""school"": ""Roosevelt High School"", ""last_grade_completed"": """", ""credential"": ""Diploma"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Dan Ryan,canonical_source,True,Dan Ryan,exact_normalized_name,True,Dan Ryan,exact_normalized_name,True,,,False,Qualified,"June 20, 2024",www.danryanforportland.com,Portland City Commissioner,"CEO, All Hands Raised, 30 Years of Leadership in non-profits, arts, healthcare and youth advocacy",Currently serving as Portland City Commissioner,I have reviewed the above campaign finance,False,3,4,False,candidate_filings+report2025+portland_contributions
2024,2,Debbie Kitchin,debbie kitchin,2024|2|debbie kitchin,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Debbie Kitchin Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""Master's"", ""credential"": ""Master's of Business Administration"", ""course_of_study"": """"}, {""school"": ""Reed College"", ""last_grade_completed"": ""Bachelor's"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Economics""}]",I have reviewed the above State campaign finance,,text_layer,False,Debbie Kitchin,canonical_source,True,Debbie Kitchin,exact_normalized_name,True,Debbie Kitchin,exact_normalized_name,True,Kitchin,unique_token_containment,True,Qualified,"August 22, 2024",https://electdebbiekitchin.com,Small business owner,Regional economist,City of Portland Charter Commission,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Devon Horace,devon horace,2024|2|devon horace,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Devon Horace Page 2: Candidate Information,Black or African American | 3 / 8,,"[{""school"": ""Concordia University - Portland"", ""last_grade_completed"": """", ""credential"": ""Master’s Degree"", ""course_of_study"": ""MBA - Leadership and Management""}]",I have reviewed the above State campaign finance,,text_layer,False,Devon Horace,canonical_source,True,,,False,,,False,,,False,Qualification Rescinded,"August 19, 2024",,Investor,"Portland Seed Fund Portland Trail Blazers Nike, Inc.",,I have reviewed the above campaign finance,False,1,4,False,candidate_filings
2024,2,Elana Pirtle-Guiney,elana pirtle guiney,2024|2|elana pirtle guiney,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Elana Pirtle-Guiney,canonical_source,True,Elana Pirtle-Guiney,exact_normalized_name,True,Elana Pirtle-Guiney,exact_normalized_name,True,Pirtle,unique_token_containment,True,Qualified,"June 5, 2024",,,,,,True,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,James Armstrong,james armstrong,2024|2|james armstrong,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),James Armstrong Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""University of Oregon"", ""last_grade_completed"": ""Completed"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""Economics""}, {""school"": ""Marylhurst University"", ""last_grade_completed"": ""Completed"", ""credential"": ""Masters of Business Administration"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,James Armstrong,canonical_source,True,James Armstrong,exact_normalized_name,True,James Armstrong,exact_normalized_name,True,Armstrong,unique_token_containment,True,Qualified,"July 24, 2024",www.armstrongforpdx.com,Optometry clinic owner,Forensic accountant,,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Jennifer Park,jennifer park,2024|2|jennifer park,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Jennifer Park Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""In Process"", ""credential"": ""Executive Masters in Public Administration"", ""course_of_study"": """"}, {""school"": ""University of California, Santa Cruz"", ""last_grade_completed"": """", ""credential"": ""Bachelor of Arts"", ""course_of_study"": """"}]",I have reviewed the above State campaign finance,,text_layer,False,Jennifer Park,canonical_source,True,Jennifer Park,exact_normalized_name,True,Jennifer Park,exact_normalized_name,True,Park,unique_token_containment,True,Qualified,"June 20, 2024",persistwithpark.com,"Programs Director, The Shadow Project","Principal's Secretary, Portland Public Schools, PFSP 111 Newsroom Intern, Metro Community Builder, Delivering Innovation in Supportive Housing General Manager, Windsor Hotel, Delivering Innovation in Supportive Housing Operations Manager, Delivering Innovation in Supportive Housing",,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Jonathan Tasini,jonathan tasini,2024|2|jonathan tasini,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Jonathan Tasini Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""UCLA"", ""last_grade_completed"": ""Graduated"", ""credential"": ""B.A."", ""course_of_study"": ""Political Science""}]",I have reviewed the above State campaign finance,,text_layer,False,Jonathan Tasini,canonical_source,True,Jonathan Tasini,exact_normalized_name,True,Jonathan Tasini,exact_normalized_name,True,Tasini,unique_token_containment,True,Qualified,"June 20, 2024",https://www.jonathantasini.com/,"Executive Director/Founder, Just Transition For All","President, Economic Future Group President, UAW Local 1981 National Campaigns and Communications Officer, Maritime Union of Australia Organizational and Communications Strategist for Various Unions",,I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Laura Streib,laura streib,2024|2|laura streib,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Laura Streib,canonical_source,True,Laura Streib,exact_normalized_name,True,Laura Streib,exact_normalized_name,True,Streib,unique_token_containment,True,Qualified,"August 14, 2024",,,,,,True,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Liz Taylor,liz taylor,2024|2|liz taylor,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Liz Taylor Page 2: Candidate Information,Black or African American | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""U S Grant High School"", ""last_grade_completed"": ""12th"", ""credential"": ""High School Diploma"", ""course_of_study"": ""General Studies""}, {""school"": ""Portland State University"", ""last_grade_completed"": ""na"", ""credential"": ""BS, Certificate"", ""course_of_study"": ""Political Science, Black & African Studies""}]",I have reviewed the above State campaign finance,,text_layer,False,Liz Taylor,canonical_source,True,Liz Taylor,exact_normalized_name,True,,,False,,,False,Qualified,"June 20, 2024",,Not Employed (Retired),"Corporate Sales, Management, Business Application, Trainer Call Center Manager and Display Advertising.","Governor's Task Force: Diversity Equity & Inclusion, Elected Democratic Precinct committee Person, 2 Legislative Sessions with Senator Bill McCoy",I have reviewed the above campaign finance,False,2,4,False,candidate_filings+report2025
2024,2,Mariah Hudson,mariah hudson,2024|2|mariah hudson,1,True,candidate_filing_application,Original,Councilor District 2 (4-Year Term),Mariah Hudson Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""Churchill High School"", ""last_grade_completed"": ""12"", ""credential"": ""High School"", ""course_of_study"": """"}, {""school"": ""University of Oregon"", ""last_grade_completed"": ""BA"", ""credential"": ""BA"", ""course_of_study"": ""English""}, {""school"": ""University of Dallas"", ""last_grade_completed"": ""MA"", ""credential"": ""Master of American Studies"", ""course_of_study"": ""Economics""}]",I have reviewed the above State campaign finance,,text_layer,False,Mariah Hudson,canonical_source,True,Mariah Hudson,exact_normalized_name,True,Mariah Hudson,exact_normalized_name,True,Hudson,unique_token_containment,True,Qualified,"June 10, 2024",https://www.mariahforportland.com,"Senior Healthcare Communicator, Oregon Health Science University","Two decades in senior roles as a Sustainability Officer and Higher Education Administrator advancing climate action goals and student success initiatives, and building public/ private partnerships. College instructor.","Chair, Portland Bureau of Transportation Bureau and Budget Advisory Committee (2023-24), Co-chair, Portland Public Schools Budget Advisory Committee (2022-24), former Chair and Board Member Northeast Coalition of Neighborhoods (2016-2021), Alameda Neighborhood Association Board Member (2015-2022), PPS Family Advisory Council on Education Representative for Beaumont (2023-24), PTA Board Member (2022-24), Democratic Precinct Committee Person.",I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Marnie Glickman,marnie glickman,2024|2|marnie glickman,1,True,unrecognized_or_scanned,,,,,,,,,ocr_fallback,False,Marnie Glickman,canonical_source,True,Marnie Glickman,exact_normalized_name,True,Marnie Glickman,exact_normalized_name,True,Glickman,unique_token_containment,True,Qualified,"August 13, 2024",,,,,,True,4,4,True,candidate_filings+report2025+portland_contributions+orestar
2024,2,Michael (Mike) Marshall,michael mike marshall,2024|2|michael mike marshall,2,True,candidate_filing_application,Amendment,Councilor District 2 (4-Year Term),Michael (Mike) Marshall Page 2: Candidate Information,White | Page 9: Candidate Information: Demographic Information,,"[{""school"": ""University of California, San Diego"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Political Science & History""}]",I have reviewed the above State campaign finance,,text_layer,False,Michael (Mike) Marshall,canonical_source,True,Michael (Mike) Marshall,exact_normalized_name,True,Mike Marshall,unique_token_containment,True,Marshall,unique_token_containment,True,Qualified,"August 5, 2024",www.MikeMarshallForPortland.com,"Co-Founder & Executive Director, Oregon Recovers","Executive Director, City Club of Portland Campaign Manager, Oregon United for Marriage","Member, Behavioral Health Metrics and Incentives Committee, Oregon Health Authority Member, Multnomah County Specialty Courts Advisory Committee",I have reviewed the above campaign finance,False,4,4,True,candidate_filings+report2025+portland_contributions+orestar
