year,district,candidate,candidate_key,filing_status,filing_date,form_type_detected,filed_as,office_sought,ballot_name,campaign_website,race_ethnicity_self_reported,tribe_native_corporation_self_reported,occupation,occupational_background,prior_govt_experience,education_background,public_funding_program,candidate_committee,filing_method,parse_method,needs_manual_review
2024,1,Timur Ender,2024|1|timur ender,Qualified,"June 7, 2024",candidate_filing_application,Original,Councilor District 1 (4-Year Term),Timur Ender Page 2: Candidate Information,www.ender4eastportland.com,Middle Eastern or Northern African | Page 9: Candidate Information: Demographic Information,,Not Employed,Infrastructure Project Manager,"City of Portland, Policy Advisor (2015-16) Municipal Infrastructure Project Manager (2017-21) Multnomah County Public Health Advisory Board (2019-21) Multnomah County Charter Review Committee (2021-22)","[{""school"": ""North Carolina State University"", ""last_grade_completed"": ""Undergraduate"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Criminology""}, {""school"": ""Lewis & Clark Law School"", ""last_grade_completed"": """", ""credential"": ""Juris Doctor"", ""course_of_study"": ""Law""}, {""school"": ""Broughton High School"", ""last_grade_completed"": ""12th"", ""credential"": ""high school"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Antonio Jamal PettyJohnBlue,2024|2|antonio jamal pettyjohnblue,Qualified,"August 26, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,Bob Simril,2024|2|bob simril,Qualified,"June 10, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Bob Simril Page 2: Candidate Information,www.votebobpdx.com,Black or African American | Page 9: Candidate Information: Demographic Information,,Small Business Consultant,"Account Director, Payscale.com",NA,"[{""school"": ""Lewis and Clark College"", ""last_grade_completed"": ""College"", ""credential"": ""BA, Communications | Spanish Minor"", ""course_of_study"": """"}, {""school"": ""Grant High School"", ""last_grade_completed"": ""12"", ""credential"": ""Diploma"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Chris Olson,2024|2|chris olson,Qualified,"June 18, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,text_layer,True
2024,2,Dan Ryan,2024|2|dan ryan,Qualified,"June 20, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Dan Ryan Page 2: Candidate Information,www.danryanforportland.com,White | Page 9: Candidate Information: Demographic Information,,Portland City Commissioner,"CEO, All Hands Raised, 30 Years of Leadership in non-profits, arts, healthcare and youth advocacy",Currently serving as Portland City Commissioner,"[{""school"": ""University of Oregon"", ""last_grade_completed"": ""Bachelor Degree"", ""credential"": ""Degree"", ""course_of_study"": """"}, {""school"": ""Roosevelt High School"", ""last_grade_completed"": """", ""credential"": ""Diploma"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Debbie Kitchin,2024|2|debbie kitchin,Qualified,"August 22, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Debbie Kitchin Page 2: Candidate Information,https://electdebbiekitchin.com,White | Page 9: Candidate Information: Demographic Information,,Small business owner,Regional economist,City of Portland Charter Commission,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""Master's"", ""credential"": ""Master's of Business Administration"", ""course_of_study"": """"}, {""school"": ""Reed College"", ""last_grade_completed"": ""Bachelor's"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Economics""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Devon Horace,2024|2|devon horace,Qualification Rescinded,"August 19, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Devon Horace Page 2: Candidate Information,,Black or African American | 3 / 8,,Investor,"Portland Seed Fund Portland Trail Blazers Nike, Inc.",NA,"[{""school"": ""Concordia University - Portland"", ""last_grade_completed"": """", ""credential"": ""Master’s Degree"", ""course_of_study"": ""MBA - Leadership and Management""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Elana Pirtle-Guiney,2024|2|elana pirtle guiney,Qualified,"June 5, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,James Armstrong,2024|2|james armstrong,Qualified,"July 24, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),James Armstrong Page 2: Candidate Information,www.armstrongforpdx.com,White | Page 9: Candidate Information: Demographic Information,,Optometry clinic owner,Forensic accountant,None,"[{""school"": ""University of Oregon"", ""last_grade_completed"": ""Completed"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""Economics""}, {""school"": ""Marylhurst University"", ""last_grade_completed"": ""Completed"", ""credential"": ""Masters of Business Administration"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Jennifer Park,2024|2|jennifer park,Qualified,"June 20, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Jennifer Park Page 2: Candidate Information,persistwithpark.com,White | Page 9: Candidate Information: Demographic Information,,"Programs Director, The Shadow Project","Principal's Secretary, Portland Public Schools, PFSP 111 Newsroom Intern, Metro Community Builder, Delivering Innovation in Supportive Housing General Manager, Windsor Hotel, Delivering Innovation in Supportive Housing Operations Manager, Delivering Innovation in Supportive Housing",NA,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""In Process"", ""credential"": ""Executive Masters in Public Administration"", ""course_of_study"": """"}, {""school"": ""University of California, Santa Cruz"", ""last_grade_completed"": """", ""credential"": ""Bachelor of Arts"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Jonathan Tasini,2024|2|jonathan tasini,Qualified,"June 20, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Jonathan Tasini Page 2: Candidate Information,https://www.jonathantasini.com/,White | Page 9: Candidate Information: Demographic Information,,"Executive Director/Founder, Just Transition For All","President, Economic Future Group President, UAW Local 1981 National Campaigns and Communications Officer, Maritime Union of Australia Organizational and Communications Strategist for Various Unions",NA,"[{""school"": ""UCLA"", ""last_grade_completed"": ""Graduated"", ""credential"": ""B.A."", ""course_of_study"": ""Political Science""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Laura Streib,2024|2|laura streib,Qualified,"August 14, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,Liz Taylor,2024|2|liz taylor,Qualified,"June 20, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Liz Taylor Page 2: Candidate Information,,Black or African American | Page 9: Candidate Information: Demographic Information,,Not Employed (Retired),"Corporate Sales, Management, Business Application, Trainer Call Center Manager and Display Advertising.","Governor's Task Force: Diversity Equity & Inclusion, Elected Democratic Precinct committee Person, 2 Legislative Sessions with Senator Bill McCoy","[{""school"": ""U S Grant High School"", ""last_grade_completed"": ""12th"", ""credential"": ""High School Diploma"", ""course_of_study"": ""General Studies""}, {""school"": ""Portland State University"", ""last_grade_completed"": ""na"", ""credential"": ""BS, Certificate"", ""course_of_study"": ""Political Science, Black & African Studies""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Mariah Hudson,2024|2|mariah hudson,Qualified,"June 10, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Mariah Hudson Page 2: Candidate Information,https://www.mariahforportland.com,White | Page 9: Candidate Information: Demographic Information,,"Senior Healthcare Communicator, Oregon Health Science University","Two decades in senior roles as a Sustainability Officer and Higher Education Administrator advancing climate action goals and student success initiatives, and building public/ private partnerships. College instructor.","Chair, Portland Bureau of Transportation Bureau and Budget Advisory Committee (2023-24), Co-chair, Portland Public Schools Budget Advisory Committee (2022-24), former Chair and Board Member Northeast Coalition of Neighborhoods (2016-2021), Alameda Neighborhood Association Board Member (2015-2022), PPS Family Advisory Council on Education Representative for Beaumont (2023-24), PTA Board Member (2022-24), Democratic Precinct Committee Person.","[{""school"": ""Churchill High School"", ""last_grade_completed"": ""12"", ""credential"": ""High School"", ""course_of_study"": """"}, {""school"": ""University of Oregon"", ""last_grade_completed"": ""BA"", ""credential"": ""BA"", ""course_of_study"": ""English""}, {""school"": ""University of Dallas"", ""last_grade_completed"": ""MA"", ""credential"": ""Master of American Studies"", ""course_of_study"": ""Economics""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Marnie Glickman,2024|2|marnie glickman,Qualified,"August 13, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,Michael (Mike) Marshall,2024|2|michael mike marshall,Qualified,"August 5, 2024",candidate_filing_application,Amendment,Councilor District 2 (4-Year Term),Michael (Mike) Marshall Page 2: Candidate Information,www.MikeMarshallForPortland.com,White | Page 9: Candidate Information: Demographic Information,,"Co-Founder & Executive Director, Oregon Recovers","Executive Director, City Club of Portland Campaign Manager, Oregon United for Marriage","Member, Behavioral Health Metrics and Incentives Committee, Oregon Health Authority Member, Multnomah County Specialty Courts Advisory Committee","[{""school"": ""University of California, San Diego"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Bachelor of Arts"", ""course_of_study"": ""Political Science & History""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Michelle DePass,2024|2|michelle depass,Qualified,"August 26, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Michelle DePass Page 2: Candidate Information,https://depassforportland.com/,"Black or African American | Hispanic, Latino, Latina, or Latinx",,"Climate Policy Team, City of Portland Bureau of Planning and Sustainability","Senior Management Analyst, Community Engagement and Policy Coordinator, City of Portland Housing, Senior Analyst, Minority, Women, Emerging Small Business, Metro Regional Government, Senior Energy Analyst, The Cadmus Group","Current Vice Chair/Former Chair of Portland Public Schools Board of Education, Budget Advisory Committees for Housing and Planning and Sustainability, Former Director Irvington Neighborhood Association","[{""school"": ""Metropolitan Learning Center"", ""last_grade_completed"": ""12"", ""credential"": ""High School"", ""course_of_study"": """"}, {""school"": ""Portland Community College"", ""last_grade_completed"": ""-"", ""credential"": ""-"", ""course_of_study"": ""Prerequisites/xfer to PSU""}, {""school"": ""Portland State University"", ""last_grade_completed"": ""-"", ""credential"": ""BS"", ""course_of_study"": ""Community Development""}, {""school"": ""Bainbridge Graduate Institute"", ""last_grade_completed"": ""-"", ""credential"": ""-"", ""course_of_study"": ""Sustainable Business""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Nabil Zaghloul,2024|2|nabil zaghloul,Qualified,"August 16, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,text_layer,True
2024,2,Nat West,2024|2|nat west,Qualified,"July 31, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,Reuben Berlin,2024|2|reuben berlin,Qualified,"August 23, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Reuben Berlin Page 2: Candidate Information,www.reubenberlin.com,White | Page 9: Candidate Information: Demographic Information,,Organic Commodities Trader,Banker,None,"[{""school"": ""University of Oregon"", ""last_grade_completed"": """", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""Political Science""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Sam Sachs,2024|2|sam sachs,Qualified,"August 6, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,Sameer Kanal,2024|2|sameer kanal,Qualified,"August 27, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Sameer Kanal Page 2: Candidate Information,www.kanalforportland.com,Asian or Asian American | Page 9: Candidate Information: Demographic Information,,"Inclusive Policy Manager, Public Safety Service Area, City of Portland","Advisory Boards and Commissions Manager, Community Safety Division, City of Portland Police Accountability Commission Project Manager, Community Safety Division, City of Portland Executive Director / Program Director, Northwest Association for Global Affairs Regional Political Director - DFW, Texas American Federation of Teachers (AFT) Writer and Reporter, Reaching Critical Will, Women's International League for Peace and Freedom Research Associate, Lawyers Committee on Nuclear Policy Project Associate, Mapping the Arms Trade Treaty, Oxfam International Logistics Consultant, Criminalization of Sexuality and Reproduction Project, Amnesty International Legislative Coordinator, Office of Government Relations, Associated Students of the University of Washington","Member, Portland Parks & Recreation Board Advisory Boards and Commissions Manager, Community Safety Division, City of Portland Police Accountability Commission Project Manager, Community Safety Division, City of Portland Accessible Voting Unit Operator, King County Elections","[{""school"": ""Clark College"", ""last_grade_completed"": """", ""credential"": ""A.A."", ""course_of_study"": ""International Relations, Economics""}, {""school"": ""University of Washington"", ""last_grade_completed"": """", ""credential"": ""B.A."", ""course_of_study"": ""Political Science, Economics""}, {""school"": ""New York University"", ""last_grade_completed"": """", ""credential"": ""M.S."", ""course_of_study"": ""Global Affairs (Human Rights and International Law)""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,2,Tiffani Penson,2024|2|tiffani penson,Qualified,"June 5, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,2,Will Mespelt,2024|2|will mespelt,Qualified,"August 22, 2024",candidate_filing_application,Original,Councilor District 2 (4-Year Term),Will Mespelt Page 2: Candidate Information,portlandwithwill.com,White | Page 9: Candidate Information: Demographic Information,,Property Manager,Property Manager,NA,"[{""school"": ""North Carolina State University"", ""last_grade_completed"": ""Graduate"", ""credential"": ""Diploma"", ""course_of_study"": ""Public and Interpersonal Communication""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,3,Ahlam K Osman,2024|3|ahlam k osman,Qualified,"August 27, 2024",candidate_filing_application,Original,Councilor District 3 (2-Year Term),Ahlam K Osman Page 2: Candidate Information,https://ahlam4pdx.com/,Black or African American | Page 9: Candidate Information: Demographic Information,,Employed,Former AYCO employee.,Multnomah Youth Commission,"[{""school"": ""Portland State University"", ""last_grade_completed"": ""Senior"", ""credential"": """", ""course_of_study"": ""B.A Community Development""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,3,Angelita Morillo,2024|3|angelita morillo,Qualified,"July 3, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,3,Brian Conley,2024|3|brian conley,Qualified,"August 5, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,3,Chris Flanary,2024|3|chris flanary,Qualified,"August 8, 2024",candidate_filing_application,Original,Councilor District 3 (2-Year Term),(Chris) Flanary Page 2: Candidate Information,www.chrisforportland.com,White | Page 9: Candidate Information: Demographic Information,,Housing Program Specialist with City of Portland,"Project Coordinator (affordable housing nonprofit), AmeriCorps VISTA",NA,"[{""school"": ""College of Charleston"", ""last_grade_completed"": ""Fourth year of four year program"", ""credential"": ""Bachelor of Science"", ""course_of_study"": ""Sociology with a minor in Women's and Gender Studies""}, {""school"": ""Clemson University"", ""last_grade_completed"": ""Third semester of four semester program"", ""credential"": ""incomplete"", ""course_of_study"": ""Applied Sociology""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,3,Christopher Brummer,2024|3|christopher brummer,Qualified,"August 22, 2024",candidate_filing_application,Original,Councilor District 3 (2-Year Term),Christopher Brummer Page 2: Candidate Information,,White | 3 / 8,,Member of the proletariat.,Member of the proletariat.,Subject to it.,"[{""school"": ""Portland Public Schools"", ""last_grade_completed"": ""K-12"", ""credential"": ""Diploma"", ""course_of_study"": """"}, {""school"": ""Portland State University"", ""last_grade_completed"": """", ""credential"": ""Bachelor of Arts"", ""course_of_study"": """"}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,3,Clifford Higgins,2024|3|clifford higgins,Qualified,"August 27, 2024",candidate_filing_application,Original,Councilor District 3 (2-Year Term),Clifford Higgins Page 2: Candidate Information,,"American Indian or Alaskan Native (if selected, a text | your Tribe or Native Corporation, if desired)","American Indian or Alaskan Native (if selected, a text",Not Employed,Communications Manager for Metro,None,"[{""school"": ""Lewis & Clark Law School"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Juris Doctor"", ""course_of_study"": ""Law""}, {""school"": ""Portland State University"", ""last_grade_completed"": ""Graduated"", ""credential"": ""Bachelors"", ""course_of_study"": ""English, Anthropology""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
2024,3,Cristal Azul Otero,2024|3|cristal azul otero,Qualified,"August 27, 2024",unrecognized_or_scanned,,,,,,,,,,,,,,ocr_fallback,True
2024,3,Dan Gilk,2024|3|dan gilk,Qualified,"August 19, 2024",candidate_filing_application,Original,Councilor District 3 (2-Year Term),Dan Gilk Page 2: Candidate Information,danforportland.com,White | Page 9: Candidate Information: Demographic Information,,Not Employed,Software Engineer,None,"[{""school"": ""Northwestern University"", ""last_grade_completed"": ""4-year university"", ""credential"": ""Bachelors of Science"", ""course_of_study"": ""Computer Engineering""}]",I have reviewed the above campaign finance,I have reviewed the above State campaign finance,,text_layer,False
