,Steve Novick,Angelita Morillo,Tiffany Koyama Lane,Jesse Cornett,Rex Burkholder,Chris Flanary,Cristal Azul Otero,Philippe Knab,Kezia Wanner,Ahlam K Osman,Daniel DeMelo,Harrison Kass,Jonathan (Jon) Walker,Luke Zak,Sandeep Bali,Brian Conley,Melodie Beirwagen,Matthew (Matt) Anderson,Heart Free Pham,Theo Hathaway Saner,Dan Gilk,Terry Parker,Kelly Janes (KJ),Christopher Brummer,Kenneth (Kent) R Landgraver III,John Sweeney,Patrick Hilton,Jaclyn Smith-Moore,David O'Connor,Clifford Higgins,Uncertified Write In
Melodie Beirwagen,-0.038172535170788266,-0.029577263111814737,-0.01755719255392229,-0.03401851576450217,-0.029891259042398352,-0.03343385943629636,-0.009660630225671443,-0.027172245053745735,0.03567284087608892,-0.010141707768382371,0.013684313964290817,0.07364441566948875,0.03339594413848984,-0.025864871134882242,0.14126126559863889,0.014372456365002076,,0.11125321503004836,0.11999931827192813,-0.01223641109492922,0.0800895128168828,0.18178820255888328,0.13085466710950788,0.11723200750041528,0.09419157966238624,0.04607200128872835,0.06522126371175745,0.2376393272641849,0.053171548788722114,0.036272805920662246,0.025856764256495593
Matthew (Matt) Anderson,-0.024403517750253585,-0.024965409662375766,-0.017240471521102543,-0.021046611420093654,-0.014318195195132846,-0.021909186667824473,-0.019224519249967903,-0.016912313445014336,0.01285330281085522,0.0028119361901382672,0.010279413677695741,0.04903683420618988,0.030017353921394617,-0.012411655906519763,0.06558057231219921,0.03560134027461174,0.0813150019343711,,0.06480267371473153,0.004840048956855615,0.07671596946985043,0.12067473155626421,0.06032038422442492,0.10290136646057957,0.11269192572640122,0.11419031781728042,0.1539343625853253,0.033731374348506975,0.11550229268339396,0.1320547620710272,0.006564260109019372
Heart Free Pham,-0.02016942231177377,-0.009459305305086492,-0.0059336755474388644,-0.015956846971111716,-0.018504900998136523,-0.0026416599420677964,0.0011629514702602359,-0.01642300747415372,-0.010059544493656744,0.012263850841015222,-0.0011281085780991615,-0.007737076929610849,0.007692700474307292,0.011661372423109759,0.06027556014337386,0.027849215823130324,0.07283656917657015,0.053815269649473,,0.025511070047996007,0.02441393185208819,0.0371814994566754,0.08165528160901957,0.07798088929697887,0.0884172295684016,0.07663063701299949,0.04464312465113365,0.12285475522549853,0.06992443183463845,0.04991221275894983,0.030574135406640418
Theo Hathaway Saner,-0.02533786779918587,0.007641639238684113,0.009560064753157793,-0.016797767142048083,-0.015289618974208715,0.045516437206022616,-0.014212330747402538,-0.02020429718803838,-0.022413486258043347,0.0712890373816841,-0.0031507356876289416,-0.01633721821962383,-0.0032470339812231755,0.01457857357751572,-0.0072258138220719845,0.17914541764199768,-0.006996488095640796,0.003786323251867743,0.024031673415068393,,-0.005925824838927771,-0.009196961153015298,0.012315272564689929,0.006880769250028326,0.030566978093658458,0.020004273904845417,0.0643105794040236,0.025840174075344204,0.02184654175783419,0.06350184839892173,-0.016259470646354454
Dan Gilk,-0.0164640201219982,-0.020226707207670287,-0.016806403998520437,-0.013716803071890136,-0.006218415000736964,-0.018460936197966404,-0.01831606406099198,-0.012509731963887598,0.02126204117408307,-0.01741892237096353,0.019883865515088188,0.07778679566295736,0.03107412847362856,-0.0014912029532865925,0.09248239549396454,0.00950281603693151,0.040661828891620955,0.053289166542528146,0.020421060047310542,-0.005261796239955721,,0.17875650816967387,0.013263216707798765,0.06327863373847865,0.20294256800511157,0.0404210735101202,0.06556433332122055,0.010318914560336657,0.06524916603123812,0.03911745872387265,-0.010088738100914655
Terry Parker,-0.01811515800365631,-0.027578856951133605,-0.024094054907222544,-0.020885965450281978,-0.021425863881824388,-0.024868670815950244,-0.021431266275559257,-0.020523020131799026,0.035263404086218975,-0.022321381434842497,0.011448468922990472,0.10555667014925793,0.023543706559665263,-0.012957560935221855,0.12026092899240493,0.003983809595922143,0.08253449780410614,0.07495973671237983,0.027811602613371046,-0.007302778515543215,0.1598528646539671,,0.03729890627797973,0.07921181718467243,0.2796992358130206,0.1463526513931693,0.06264085257370594,0.04209053229660242,0.14066513403983158,0.05305396333695611,0.005803774336200107
Kelly Janes (KJ),-0.014781372649456677,-0.00452343641502646,-0.0030062592893146597,-0.010446514072651635,-0.011236114877234776,-0.001364005754632424,0.002139806996084598,-0.016141476264803778,0.010228431385784664,0.012336941831848212,0.006382867997395333,0.002829768280234929,0.0061315179870317996,0.0006394803564030993,0.017069910054734218,0.010941828085803441,0.056969006735104494,0.035929851588627715,0.05856835270940902,0.009377075620887305,0.011373314263173125,0.03576643960346468,,0.035117976930387304,0.039388568907126206,0.055144087072019024,0.015437946282858182,0.126320318276807,0.07449853040195882,0.011328496192527043,-0.0018175563916832949
Christopher Brummer,-0.00912833804843995,-0.008134577258432708,-0.00568810902779698,-0.010478162017334262,-0.010647549199428967,-0.0046036408665303535,-0.00557689021228373,-0.002115404617260744,-0.006438995024821252,-0.0017946462051160773,-0.001615320099003146,0.009772085198469248,0.01386870034558315,0.0013596586259307757,0.004663477407601591,0.01845340444951802,0.036396117170445226,0.0437091023980358,0.03988653717648785,0.003736111303419637,0.038694985615159154,0.05416628013271277,0.02504314748314504,,0.04680541942360657,0.07433046255482646,0.03549266746373631,0.049080152078622624,0.1412061613784265,0.05851545722931398,0.01627528826863814
Kenneth (Kent) R Landgraver III,-0.011167601102586968,-0.014067314535637967,-0.01173435262913039,-0.009455114926006718,-0.009569143363367885,-0.010871880539431373,-0.008152377178233092,-0.009997919835173572,0.01238704884318445,-0.006531386911668857,-9.022980525729557e-05,0.04128085497616689,0.005487447608298935,-0.005105891432336456,0.055458933019439514,0.006711859890403526,0.02705811639612101,0.04429147813170362,0.04184578128424351,0.015357196653579895,0.11482788751982509,0.17697297128433706,0.0259899983362595,0.043308462800003784,,0.07539274696888798,0.02829274593514309,0.02082786972100517,0.05054464339166156,0.04417540043703332,0.004494241712398428
John Sweeney,-0.004860790222737462,-0.012049458247316236,-0.010484567906345152,-0.008978147061216295,-0.006074377345602068,-0.010202145997391112,-0.00855727650879062,-0.011621472231150539,0.0023063969125670415,-0.0074980449849502955,0.0048291974928216935,0.017315824719432688,0.011086809643648669,0.0009051102976619409,0.013072504982792284,0.012075620728613599,0.011867370323844384,0.04024283726006243,0.03251989619899605,0.009011854456991354,0.02050756061791402,0.08303251533131578,0.0326262333347117,0.06167020613221757,0.0676023050178397,,0.05234586693382771,0.03343884827354245,0.15400090275014494,0.07840482479483016,0.020132591705897797
Patrick Hilton,-0.008292863273331426,-0.008684006728935694,-0.0072280792085207945,-0.006754616706357672,-0.002435912485180358,-0.0050929922917270845,-0.007357382418656442,-0.004396139219171013,-0.0019655425505488346,-0.006419284607725732,0.005402013371276618,0.01924038269294136,0.012005324932024334,-0.0019158818571465615,0.009735778386615719,0.03403665465566175,0.015466907955651154,0.04994497072786187,0.017442075959368624,0.02667292683366879,0.030624618311701098,0.0327191591506817,0.00840919428671336,0.027110909003125645,0.023356292804731334,0.04819247950708823,,0.04885728448593375,0.07704091826950447,0.1099558046460311,0.006653391436378265
Jaclyn Smith-Moore,-0.009469919553102939,-0.0015309491439610533,-0.0002066914020811897,-0.009313951485971736,-0.009832382508882409,-0.00690808712997743,0.008177450856117801,-0.011461395894768833,0.0005031447995897699,-0.000836776721534125,-0.002302366958313786,-0.005172786288563271,0.0007516073181191782,-0.001142098022882513,0.005353760911652083,0.008116881510316448,0.055352810048883955,0.010749723383146028,0.04714575855259644,0.010526663821899086,0.004734172942058603,0.021594142328660623,0.06758419413021419,0.036822935415309344,0.016888097639392106,0.030238152469022013,0.04798841348960388,,0.10018867513279375,0.09823939424728888,0.0009730051817326106
David O'Connor,-0.005194850874992303,-0.006859965365070682,-0.005855231256565319,-0.006563362709440681,-0.004245025917692506,-0.0032793827600274567,-0.00774453887156394,-0.004695752259684416,-0.004351370882217655,-0.005074197390603159,-0.0022338562172865475,0.005866588207708676,0.01567195167036911,0.0019528029035860359,0.004912541540269325,0.01799060062363345,0.008685117539374398,0.02581242981184592,0.01881718408804942,0.006240983702167101,0.020992303576184278,0.05060728473673112,0.02795082716645772,0.07429185188509692,0.02873995251010908,0.09765674374647101,0.05306443549753147,0.0702576572832335,,0.09028936415100805,-0.007424026702555369
Clifford Higgins,-0.005244644479347668,-0.004057433098712908,-0.0028060261391970875,-0.00400401850686923,-0.0016159520014041358,-0.00201503867745108,-0.0032735660905824967,-0.0020292295190706966,-0.0063544769995525704,0.0014610406241197665,0.006385402908638333,0.00044342405434728317,0.0029579288220505755,-0.0017864127529342803,5.351427108430014e-05,0.01969632296429087,0.005871899482371601,0.02924781459096431,0.01331170185286797,0.017978679348120252,0.01247259546531147,0.018916704326646015,0.00421230968708718,0.030511194521868,0.02489387331234289,0.04927456873125975,0.07505875036712657,0.06827501076517709,0.08948240856276667,,0.006155517161854484
Uncertified Write In,-0.0032935568724278335,-0.0041126129044750815,-0.003239173928292676,-0.004145002910713845,-0.004938181797721064,-0.004237384364432531,-0.00538222120223213,-0.0050366856800127206,-0.002707112501558362,-0.004442288819280913,-0.002562577029282115,0.0005531956937367809,-0.0021804791571992657,-0.0021936322046723217,-0.0008694396220217991,-0.003585994985792017,0.002801673726413472,0.0009731304378217814,0.005457916208347357,-0.003081227345181496,-0.0021531236585977604,0.0013851094164278929,-0.0004523575520284798,0.005680194651750405,0.0016951741749758054,0.00846887358913081,0.0030399900680579215,0.00045262358036029723,-0.0049247764024895595,0.004120125715549896,
